 #        3999   2.0000000000000000     
   1.0000000000000000E-003   2.1497069365160153E-003   3.7134259534168060E-002
   2.0000000000000000E-003   2.1497043485370401E-003   3.7134834318063914E-002
   3.0000000000000001E-003   2.1496991730604251E-003   3.7135983838670311E-002
   4.0000000000000001E-003   2.1496914110485724E-003   3.7137708001635662E-002
   5.0000000000000001E-003   2.1496810639444227E-003   3.7140006665480139E-002
   6.0000000000000001E-003   2.1496681336706570E-003   3.7142879641652700E-002
   7.0000000000000001E-003   2.1496526226286354E-003   3.7146326694607115E-002
   8.0000000000000002E-003   2.1496345336970749E-003   3.7150347541896847E-002
   9.0000000000000011E-003   2.1496138702304613E-003   3.7154941854288852E-002
   1.0000000000000002E-002   2.1495906360572037E-003   3.7160109255896169E-002
   1.0999999999999999E-002   2.1495648354775314E-003   3.7165849324329189E-002
   1.2000000000000000E-002   2.1495364732611304E-003   3.7172161590865602E-002
   1.3000000000000001E-002   2.1495055546445299E-003   3.7179045540638916E-002
   1.4000000000000002E-002   2.1494720853282353E-003   3.7186500612845313E-002
   1.4999999999999999E-002   2.1494360714736141E-003   3.7194526200968893E-002
   1.6000000000000000E-002   2.1493975196995351E-003   3.7203121653025084E-002
   1.7000000000000001E-002   2.1493564370787649E-003   3.7212286271822062E-002
   1.8000000000000002E-002   2.1493128311341298E-003   3.7222019315240128E-002
   1.9000000000000003E-002   2.1492667098344364E-003   3.7232319996528748E-002
   2.0000000000000000E-002   2.1492180815901678E-003   3.7243187484621215E-002
   2.1000000000000001E-002   2.1491669552489508E-003   3.7254620904466615E-002
   2.2000000000000002E-002   2.1491133400907982E-003   3.7266619337379028E-002
   2.3000000000000000E-002   2.1490572458231403E-003   3.7279181821403697E-002
   2.4000000000000000E-002   2.1489986825756363E-003   3.7292307351699971E-002
   2.5000000000000001E-002   2.1489376608947838E-003   3.7305994880940760E-002
   2.6000000000000002E-002   2.1488741917383243E-003   3.7320243319728351E-002
   2.7000000000000003E-002   2.1488082864694505E-003   3.7335051537026202E-002
   2.8000000000000001E-002   2.1487399568508223E-003   3.7350418360606659E-002
   2.9000000000000001E-002   2.1486692150383996E-003   3.7366342577514124E-002
   3.0000000000000002E-002   2.1485960735750939E-003   3.7382822934543501E-002
